Wavelength Vacuum (um),Refractive Index,Wavelength Medium (um),Energy (eV),Frequency (THz)
0.23,1.000308003,0.22992918112242675,5.390617323182621,1303.4454695652173
0.2446,1.000303036,0.24452589984941323,5.068855209861009,1225.6437367130009
0.2592,1.00029911,0.2591224938708583,4.783340988935196,1156.6067052469136
0.2738,1.000295938,0.273718996147718,4.528276056727549,1094.9322790357926
0.2884,1.000293329,0.28831542872360794,4.299036006699039,1039.5022815533982
0.303,1.000291152,0.3029118066216785,4.091887737069316,989.4140528052806
0.3176,1.000289313,0.31750814076727024,3.9037845854282205,943.9309130982368
0.3322,1.000287743,0.33210443927233047,3.7322154856472087,902.4456893437689
0.3468,1.000286391,0.34670070803752445,3.5750922270242294,864.4534544405998
0.3614,1.000285217,0.36129695196725076,3.4306640407637046,829.5308743774212
0.376,1.000284191,0.3758931745428335,3.297452085989369,797.3203670212766
0.3906,1.000283287,0.3904893794351679,3.174198628602158,767.5178136200717
0.4052,1.000282488,0.40508556818801367,3.059827207137223,739.8629269496545
0.4198,1.000281777,0.4196817433374076,2.9534111108432652,714.1316293473081
0.4344,1.000281141,0.43427790667503946,2.854148214392272,690.1299677716391
0.449,1.00028057,0.44887405940515274,2.7613407223429904,667.6892160356348
0.4636,1.000280056,0.4634702023889997,2.674378741009497,646.6619025021571
0.4782,1.00027959,0.47806633743271715,2.5927268597490647,626.9185654537849
0.4928,1.000279168,0.49266246440513695,2.5159131175568237,608.3450852272726
0.5074,1.000278783,0.5072585849299175,2.4435198745210935,590.8404769412692
0.522,1.000278432,0.5218546989524613,2.3751762151954074,574.3150536398467
0.5366,1.00027811,0.53645080766588,2.3105515921207656,558.6888893030191
0.5512,1.000277814,0.5510469114533416,2.2493504795573345,543.8905261248186
0.5658,1.000277542,0.5656430103076331,2.191307854952285,529.8558819370803
0.5804,1.000277291,0.5802391049183582,2.136185362391459,516.5273225361819
0.595,1.000277059,0.5948351955555545,2.0837680408941224,503.8528705882353
0.6096,1.000276844,0.6094312826059982,2.033861522854335,491.78552821522305
0.6242,1.000276644,0.6240273665732018,1.986289625652039,480.2826946491509
0.6388,1.000276458,0.6386234474389679,1.940892273531626,469.305663744521
0.6534,1.000276285,0.653219525243468,1.897523698089995,458.8191888582798
0.668,1.000276123,0.6678156007528734,1.856050874748507,448.7911047904191
0.6826,1.000275972,0.6824116734856448,1.8163521598769452,439.19199824201587
0.6972,1.000275831,0.6970077436570594,1.7783160991566305,429.99491967871484
0.7118,1.000275698,0.7116038122521696,1.741840382596239,421.1751306546783
0.7264,1.000275573,0.7261998789207663,1.7068309255671843,412.7098816079295
0.741,1.000275456,0.7407959433126389,1.6732010584777366,404.5782159244265
0.7556,1.000275346,0.755392005832762,1.640870810391745,396.7607967178401
0.7702,1.000275242,0.769988066944478,1.6097662741262047,389.2397533108284
0.7848,1.000275144,0.78458412638513,1.5798190422171288,381.9985448521916
0.7994,1.000275051,0.7991801846910205,1.5509657046935237,375.0218388791594
0.814,1.000274964,0.8137762408297164,1.5231474008992665,368.295402948403
0.8286,1.000274881,0.8283722961948498,1.4963094186966002,361.80600772387163
0.8432,1.000274802,0.8429683506113151,1.4704008353083524,355.5413401328274
0.8578,1.000274728,0.8575644030466798,1.4453741948379606,349.4899253905339
0.8724,1.000274657,0.8721604550259039,1.4211852181705673,343.64105685465387
0.887,1.00027459,0.8867565055311462,1.397792541524242,337.9847328072153
0.9016,1.000274526,0.9013525552884067,1.3751574804037299,332.511599378882
0.9162,1.000274465,0.9159486041663576,1.3532438161231204,327.2128989303646
0.9308,1.000274407,0.9305446520336693,1.3320176024194272,322.08042329179204
0.9454,1.000274352,0.9451406987590142,1.3114469899851944,317.1064713348847
0.96,1.000274299,0.9597367451705364,1.291502067012503,312.2838104166667
